89	61
92	69	71	99	34	38	62	97	18	88	52	46	79	1	40	46	82	26	100	72	26	75	99	50	0	49	41	33	20	88	24	33	48	92	36	8	27	79	99	22	17	34	46	37	79	4	83	9	55	98	63	64	45	94	51	57	88	22	62	65	78	
88	99	3	53	88	56	25	76	56	12	22	53	80	2	4	70	1	72	100	96	51	6	53	82	35	72	60	51	63	68	89	23	100	27	3	15	71	97	88	42	55	21	78	41	20	22	94	28	36	27	12	59	92	12	58	91	54	36	71	52	64	
90	60	20	57	75	22	51	30	94	95	30	86	27	57	75	92	48	73	45	48	75	15	100	94	50	45	52	26	38	37	15	86	97	20	75	29	44	83	44	87	0	34	65	69	32	59	42	37	96	21	30	5	20	87	3	94	51	5	71	10	99	
60	92	8	53	7	77	45	44	56	3	14	58	6	95	77	39	25	18	51	26	34	3	32	62	87	63	94	89	56	87	14	27	95	68	79	23	12	12	22	93	27	46	0	15	73	39	2	37	57	53	93	96	46	48	58	99	21	57	57	41	0	
70	80	18	25	72	86	92	53	1	56	30	56	6	58	37	70	88	38	69	18	66	47	0	41	46	13	36	49	28	42	38	45	18	18	40	56	96	94	27	5	76	59	51	76	48	91	94	57	86	58	0	4	41	28	45	16	59	57	4	59	38	
38	7	13	60	8	92	65	57	39	50	2	70	61	1	15	6	30	76	74	88	4	33	31	88	50	35	99	33	40	13	87	33	94	92	65	63	55	97	61	26	57	50	64	13	15	78	62	97	95	43	3	2	62	45	95	13	40	84	21	95	3	
87	70	8	18	99	17	54	61	56	26	85	61	97	40	34	52	42	2	61	48	44	34	85	92	34	44	14	80	14	25	84	10	12	74	42	46	74	38	33	68	48	14	75	23	57	4	54	81	27	95	17	6	65	8	27	45	63	2	2	44	25	
35	69	18	58	23	83	19	79	76	63	65	68	97	33	38	73	14	64	54	23	31	82	82	63	52	38	5	30	52	49	72	84	53	28	31	82	72	65	88	17	56	73	8	79	54	34	5	12	92	83	27	27	65	13	92	21	19	85	87	0	91	
38	53	87	74	22	95	50	14	35	81	39	62	56	73	30	97	51	71	59	21	47	50	54	89	24	15	73	64	83	90	79	32	27	8	8	16	79	3	23	57	50	73	38	70	10	64	15	48	34	74	78	4	17	81	79	77	69	63	56	22	0	
19	59	80	32	92	17	63	39	34	26	73	91	8	40	51	31	97	47	27	4	55	91	31	37	61	47	51	64	0	14	42	0	94	88	89	43	25	67	5	65	2	6	66	77	21	80	45	24	43	41	3	73	19	19	50	71	95	89	63	61	53	
70	86	51	4	51	14	43	46	82	79	67	4	81	31	88	27	54	53	90	79	66	89	10	56	17	51	76	39	18	76	31	39	69	69	89	0	5	64	66	31	56	86	34	53	34	66	65	84	48	0	24	53	75	40	16	77	92	34	72	46	3	
67	3	49	44	75	76	62	60	46	97	56	64	32	10	66	14	35	25	82	91	34	1	30	55	44	96	21	30	36	90	26	24	18	78	12	42	42	0	32	85	42	88	26	58	48	51	45	8	74	66	30	80	57	80	44	95	53	3	27	59	47	
81	55	13	95	55	8	40	82	47	59	67	36	72	90	64	3	63	85	55	49	74	89	43	79	39	84	35	92	56	18	2	71	42	21	51	89	71	90	92	67	96	33	56	67	46	36	97	8	17	2	1	0	68	45	30	8	38	55	0	43	78	
53	43	83	67	46	8	1	87	63	27	79	62	56	60	82	0	49	85	56	37	52	95	39	47	3	3	71	47	54	69	8	68	77	60	56	70	81	82	5	37	59	34	51	28	0	57	92	3	5	38	91	24	72	91	50	5	28	65	54	84	8	
0	45	15	61	12	95	51	0	92	83	65	8	14	76	82	37	2	3	33	58	43	90	43	13	66	1	65	61	6	70	28	23	94	24	61	8	78	55	26	4	42	31	6	75	6	89	59	86	92	58	81	4	92	68	22	86	18	6	69	24	47	
56	33	16	41	6	69	54	57	15	24	0	88	91	32	64	28	85	41	8	44	27	82	8	59	72	37	58	46	87	30	84	11	58	88	12	56	35	68	47	28	30	95	10	14	16	43	25	53	1	55	28	24	12	2	47	52	71	85	52	12	52	
85	87	52	14	56	22	10	51	73	18	47	43	32	79	57	32	2	25	90	59	57	92	31	66	64	35	76	21	55	80	92	40	84	75	79	85	12	94	86	26	38	88	72	53	6	83	71	66	55	3	84	13	51	42	14	26	43	90	27	26	50	
43	67	67	22	72	49	41	68	27	37	25	47	35	40	64	88	34	46	42	80	70	8	45	69	18	65	67	95	36	16	84	10	74	57	80	91	87	44	12	54	52	32	87	73	10	71	48	10	49	38	88	75	32	4	47	59	43	13	27	88	78	
83	71	21	72	16	48	64	6	17	67	78	4	28	25	62	57	73	4	13	18	42	5	0	0	77	94	18	84	25	48	85	15	12	30	43	97	32	85	37	91	68	94	46	47	30	13	89	14	50	52	72	73	22	13	34	52	57	58	97	66	44	
70	77	75	13	6	97	43	94	54	84	64	72	12	87	10	72	53	39	10	2	45	59	79	82	52	77	54	16	94	35	4	28	59	0	37	91	1	16	26	13	59	59	12	52	78	41	96	80	43	0	86	43	92	68	13	38	56	72	22	78	36	
84	44	87	17	43	37	89	10	16	52	92	88	73	1	84	52	82	48	54	42	30	88	97	92	62	47	54	62	97	74	45	47	54	24	42	49	81	79	86	51	35	91	67	40	25	39	56	67	63	87	58	28	32	1	15	56	53	24	79	90	86	
25	81	71	17	85	46	47	32	97	26	49	49	12	24	57	75	14	30	11	84	86	94	66	46	97	69	69	95	8	43	32	91	94	0	39	31	87	31	17	57	41	12	74	32	58	37	77	6	58	39	97	42	31	47	13	42	94	59	79	37	96	
0	3	37	72	33	65	35	0	73	84	5	59	43	69	70	15	24	24	37	68	36	67	74	86	52	67	32	67	51	16	65	58	59	70	24	37	47	57	17	95	32	26	86	37	16	16	34	96	76	55	56	47	50	55	18	11	65	65	16	54	95	
92	23	88	11	10	50	12	59	75	55	15	10	21	46	47	24	6	0	94	18	63	54	78	51	0	6	10	14	24	35	12	14	27	15	45	30	88	13	85	89	75	76	14	73	75	34	4	3	23	15	59	53	56	55	58	28	84	2	97	40	15	
91	10	11	78	95	2	66	27	28	13	15	37	48	63	86	26	21	80	50	42	57	48	66	17	62	5	26	8	65	65	27	1	53	59	31	45	3	58	10	45	25	68	52	66	0	15	86	50	12	44	40	24	1	32	18	47	97	2	39	77	15	
63	3	11	6	54	28	70	17	58	78	75	43	28	40	36	58	42	1	65	80	32	44	66	91	52	15	54	28	32	91	68	6	42	68	18	50	72	24	89	86	10	36	10	91	43	17	77	87	57	50	49	66	92	83	36	50	24	86	54	42	72	
83	21	70	79	70	97	49	96	80	11	82	40	50	70	27	68	3	36	11	31	52	2	51	85	1	57	70	0	91	55	58	34	43	54	43	31	34	59	27	97	31	41	5	96	2	59	3	4	49	75	24	18	36	76	55	94	57	59	39	97	79	
53	23	21	77	92	56	42	34	44	96	69	53	78	12	40	26	26	45	24	73	15	15	75	74	52	14	96	69	12	74	10	73	26	15	94	89	64	54	15	45	63	70	41	1	36	15	74	70	53	37	2	95	49	2	94	80	30	40	58	62	5	
83	47	88	72	55	16	74	21	36	84	31	78	2	54	15	97	3	24	49	73	21	39	45	42	91	15	89	12	15	63	35	23	88	78	94	46	14	6	35	90	16	62	48	41	78	28	0	8	8	40	21	90	79	70	25	45	6	18	14	36	73	
65	88	41	55	58	24	66	52	97	67	94	17	57	11	16	88	51	50	52	18	87	66	91	67	15	6	72	97	55	41	88	23	15	75	39	77	76	56	47	56	73	37	66	55	0	85	62	39	58	97	67	70	39	21	12	25	86	86	62	80	14	
88	84	55	79	47	24	12	50	66	84	36	43	95	34	5	91	79	96	68	0	34	75	41	78	18	5	48	65	96	91	35	55	15	18	23	35	31	56	94	21	59	27	84	73	55	35	72	52	78	25	54	46	65	72	35	64	3	3	63	42	30	
96	43	46	92	66	43	8	46	37	37	18	84	79	0	91	46	21	37	43	21	12	53	58	97	48	5	36	46	42	68	56	17	14	91	39	34	26	49	24	5	58	31	88	67	14	35	80	24	12	2	17	66	30	89	56	47	97	94	25	90	8	
36	91	37	97	92	49	87	91	31	52	5	58	68	57	41	80	36	85	46	37	73	95	39	0	64	89	85	39	0	24	57	8	15	45	55	12	49	24	41	56	46	21	57	75	73	21	25	64	31	3	50	82	42	96	67	1	73	62	1	67	70	
57	52	97	89	24	97	94	88	21	96	90	84	43	1	36	34	87	3	57	85	6	41	59	94	26	67	63	67	39	36	91	96	92	77	0	27	97	65	25	27	17	92	21	15	68	73	40	51	1	89	15	49	82	31	96	95	49	42	3	3	25	
82	95	74	24	15	1	36	54	87	96	40	74	80	97	31	14	37	25	88	30	50	27	72	30	14	21	78	6	63	37	39	10	15	16	1	68	68	31	45	50	87	94	25	88	85	88	49	12	94	87	66	84	16	52	10	97	74	6	59	26	70	
97	96	50	51	56	94	55	72	6	65	16	47	96	70	73	80	73	45	91	84	72	82	53	28	47	67	68	15	28	89	54	94	96	0	10	97	36	26	40	31	12	67	48	16	31	43	2	30	65	84	72	65	0	94	8	12	91	43	54	17	28	
67	56	53	45	63	5	97	42	85	54	43	16	97	90	23	91	31	0	87	62	78	41	79	47	10	41	75	63	0	18	16	84	47	0	47	89	25	36	48	12	34	85	68	62	39	37	86	15	56	34	46	52	2	89	34	25	12	33	21	5	78	
6	36	41	57	14	59	6	6	70	25	25	94	42	14	55	35	43	45	95	72	92	59	95	87	34	82	96	91	63	5	48	35	36	43	58	85	30	65	90	68	37	48	50	47	36	46	5	16	78	89	59	26	88	59	54	48	66	35	53	66	3	
55	59	65	40	15	18	72	85	26	79	71	5	80	87	55	10	75	66	68	94	97	31	78	67	28	28	62	16	26	36	43	73	73	59	1	67	16	43	69	48	1	54	15	59	53	89	78	82	94	84	12	51	1	39	75	39	63	53	1	43	28	
40	2	66	53	96	54	23	51	56	70	17	1	55	62	36	91	46	0	18	21	52	86	23	5	43	90	45	72	27	1	41	73	55	34	39	5	3	58	8	87	82	45	46	75	86	86	21	59	30	45	85	57	92	63	27	6	63	57	90	2	2	
5	39	92	37	78	35	8	15	15	63	55	37	79	87	91	47	88	78	95	92	97	73	46	45	31	79	27	70	31	79	91	10	14	88	12	95	67	3	28	15	1	91	18	50	14	5	56	41	16	0	5	43	55	68	85	65	73	56	79	95	66	
63	1	43	16	35	51	34	68	85	97	2	14	47	92	73	16	23	1	96	3	51	58	51	54	65	3	47	91	56	1	23	56	25	34	26	35	10	55	62	25	28	18	35	16	39	88	53	59	62	66	78	23	36	43	31	48	53	28	21	34	97	
57	16	67	12	65	45	35	88	97	48	25	8	91	42	6	43	65	90	1	15	79	8	0	8	40	8	15	16	15	59	1	8	59	86	94	42	12	42	2	10	63	0	65	47	67	88	94	66	8	91	23	50	23	56	35	51	43	66	88	3	34	
74	74	88	86	95	66	50	96	34	50	63	25	34	26	72	6	26	56	5	25	8	91	90	89	86	88	2	17	43	51	82	57	23	51	59	0	90	15	39	97	97	50	31	73	34	40	6	95	1	55	10	6	51	18	66	2	89	52	84	78	42	
3	63	85	58	5	27	91	84	57	2	53	48	26	92	55	25	0	70	45	62	79	73	50	47	50	28	55	85	52	48	14	57	52	88	15	70	18	17	63	68	47	12	23	57	3	6	78	47	62	26	78	72	35	28	96	39	26	72	34	43	18	
96	35	0	36	48	51	50	73	3	50	2	0	18	40	0	21	94	68	90	21	65	75	67	34	79	3	16	47	28	26	47	86	79	25	62	66	18	20	82	5	0	50	66	26	26	35	91	23	17	50	96	59	21	92	45	30	75	12	23	87	59	
82	47	8	39	3	58	35	58	30	23	5	0	39	35	6	87	94	66	55	92	72	25	45	23	55	8	68	1	53	25	41	21	84	50	62	68	73	1	96	75	53	66	84	58	27	88	23	5	72	73	52	70	72	36	73	84	62	0	64	40	5	
86	66	94	6	12	70	14	27	95	55	41	67	75	5	72	91	31	28	43	50	75	88	8	72	85	45	2	84	92	94	28	94	58	21	53	89	6	58	47	16	52	48	43	5	0	90	91	15	26	5	39	43	25	26	51	48	47	34	1	31	35	
